Compare	Shape	Carat	Color	Clarity	Cut	Report	Origin	Price	 empty
Pear	0.31	G	SI1	Good	IGI	Lab Created	$220	View
Pear	0.34	H	SI1	Very Good	IGI	Lab Created	$220	View
Oval	0.33	G	SI1	Super Ideal	IGI	Lab Created	$220	View
Oval	0.31	H	VS1	Super Ideal	IGI	Lab Created	$220	View
Oval	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Oval	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Emerald	0.36	I	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.32	G	SI1	Good	IGI	Lab Created	$230	View
Emerald	0.33	G	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.32	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.32	H	VS2	Good	IGI	Lab Created	$230	View
Emerald	0.33	G	SI1	Ideal	IGI	Lab Created	$230	View
Pear	0.32	G	SI1	Good	IGI	Lab Created	$230	View
Pear	0.33	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.35	H	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.30	H	VS1	Good	IGI	Lab Created	$230	View
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.34	G	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.33	F	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	H	VVS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.32	H	VS1	Very Good	IGI	Lab Created	$230	View
Pear	0.36	H	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.32	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.36	H	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.30	G	VS2	Good	IGI	Lab Created	$230	View
Pear	0.32	G	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.30	G	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.33	H	VS2	Very Good	IGI	Lab Created	$230	View
Oval	0.32	G	VS2	Super Ideal	IGI	Lab Created	$230	View
Oval	0.33	G	VS2	Very Good	IGI	Lab Created	$230	View
Oval	0.30	H	VVS2	Ideal	IGI	Lab Created	$230	View
Cushion	0.30	G	VS1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.31	G	VS1	Good	IGI	Lab Created	$230	View
Cushion	0.32	F	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.33	G	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.31	H	VS2	Good	IGI	Lab Created	$230	View
Pear	0.32	H	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.33	I	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	G	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.30	F	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.33	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.36	I	VS1	Very Good	IGI	Lab Created	$230	View
Radiant	0.41	J	VS2	Ideal	IGI	Lab Created	$230	View
