,listID,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
91,93,1101 Fincher St,85000.0,3,2,1364,Mission,78572,TX,26.2240532060376,-98.3383047512249,"{'x': -98.3383047512249, 'y': 26.2240532060376, 'spatialReference': {'wkid': 4326}}"
92,94,3626 Beatty St,45000.0,3,2,1560,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
93,95,3008 Santa Lorena,259900.0,3,4,2650,Mission,78572,TX,26.1722499447498,-98.2902883787977,"{'x': -98.2902883787977, 'y': 26.1722499447498, 'spatialReference': {'wkid': 4326}}"
94,96,1403 Barcelona St,309000.0,4,4,3004,Mission,78572,TX,26.2203425414878,-98.3035881973506,"{'x': -98.3035881973506, 'y': 26.2203425414878, 'spatialReference': {'wkid': 4326}}"
95,97,2600 Solera,995500.0,6,7,6218,Mission,78572,TX,26.1764837014511,-98.2952942860675,"{'x': -98.2952942860675, 'y': 26.1764837014511, 'spatialReference': {'wkid': 4326}}"
96,98,2702 San Diego,385000.0,5,5,5023,Mission,78572,TX,26.17493040467,-98.3012426540127,"{'x': -98.3012426540127, 'y': 26.17493040467, 'spatialReference': {'wkid': 4326}}"
97,99,2800 Brock St,259900.0,3,3,2376,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
98,100,1808 Lauren Ln,179000.0,4,2,2196,Mission,78572,TX,26.2196144874338,-98.2948188286137,"{'x': -98.2948188286137, 'y': 26.2196144874338, 'spatialReference': {'wkid': 4326}}"
99,101,3600 Florencia Ct,235000.0,4,4,2645,Mission,78572,TX,26.1709836967119,-98.2916658068808,"{'x': -98.2916658068808, 'y': 26.1709836967119, 'spatialReference': {'wkid': 4326}}"
100,102,2509 Redstone Dr,339000.0,3,5,3205,Mission,78572,TX,26.2036114626812,-98.2823709521636,"{'x': -98.2823709521636, 'y': 26.2036114626812, 'spatialReference': {'wkid': 4326}}"
